MsgID.STATE,1523729405.0370126,False,False
MsgID.GLOBAL_HOME,1523729408.0246520,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729408.0591619,-122.3974495,37.7924790,3.4620000
MsgID.LOCAL_VELOCITY,1523729408.0591619,0.0000000,0.0200000,-4.4300000
MsgID.LOCAL_POSITION,1523729408.0596669,-0.1628003,0.3296579,-3.4623578
MsgID.LOCAL_VELOCITY,1523729408.0596669,0.0017678,0.0202310,-4.4306798
MsgID.GLOBAL_POSITION,1523729408.3091497,-122.3974496,37.7924803,4.5040000
MsgID.LOCAL_VELOCITY,1523729408.3091497,0.0100000,0.0100000,-4.5100000
MsgID.LOCAL_POSITION,1523729408.3121512,-0.0123943,0.3243529,-4.5046258
MsgID.LOCAL_VELOCITY,1523729408.3121512,0.0106846,0.0183237,-4.5185599
MsgID.LOCAL_POSITION,1523729408.5571518,0.0711254,0.3649433,-5.4866915
MsgID.LOCAL_VELOCITY,1523729408.5571518,0.0127636,0.0185535,-2.1738877
MsgID.GLOBAL_POSITION,1523729408.5591528,-122.3974492,37.7924811,5.4860000
MsgID.LOCAL_VELOCITY,1523729408.5591528,0.0100000,0.0100000,-2.1700000
MsgID.GLOBAL_POSITION,1523729408.8077090,-122.3974481,37.7924802,5.7580000
MsgID.LOCAL_VELOCITY,1523729408.8077090,0.0100000,0.0100000,0.4900000
MsgID.LOCAL_POSITION,1523729408.8081641,-0.0231311,0.4569043,-5.7587342
MsgID.LOCAL_VELOCITY,1523729408.8081641,0.0119425,0.0173599,0.4903983
MsgID.STATE,1523729409.0242600,True,True
MsgID.GLOBAL_HOME,1523729409.0261555,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1523729409.0586522,0.1182164,0.4417314,-5.5272522
MsgID.LOCAL_VELOCITY,1523729409.0586522,0.0995501,0.1328023,1.7720658
MsgID.GLOBAL_POSITION,1523729409.0601559,-122.3974483,37.7924815,5.5270000
MsgID.LOCAL_VELOCITY,1523729409.0601559,0.0900000,0.1300000,1.7700000
MsgID.LOCAL_POSITION,1523729409.3086574,0.1444179,0.3686768,-4.9796152
MsgID.LOCAL_VELOCITY,1523729409.3086574,1.0892584,1.0589445,1.8340850
MsgID.GLOBAL_POSITION,1523729409.3106563,-122.3974491,37.7924817,4.9790000
MsgID.LOCAL_VELOCITY,1523729409.3106563,1.0800000,1.0500000,1.8300000
MsgID.GLOBAL_POSITION,1523729409.5588365,-122.3974440,37.7924852,4.7390000
MsgID.LOCAL_VELOCITY,1523729409.5588365,2.5300000,2.5400000,0.1100000
MsgID.LOCAL_POSITION,1523729409.5591528,0.5265371,0.8229039,-4.7391787
MsgID.LOCAL_VELOCITY,1523729409.5591528,2.5314136,2.5479765,0.1127726
MsgID.GLOBAL_POSITION,1523729409.8086503,-122.3974331,37.7924940,4.8950000
MsgID.LOCAL_VELOCITY,1523729409.8086503,3.7100000,3.8100000,-1.0500000
MsgID.LOCAL_POSITION,1523729409.8091516,1.5055066,1.7886565,-4.8951449
MsgID.LOCAL_VELOCITY,1523729409.8091516,3.7122304,3.8150361,-1.0590407
MsgID.STATE,1523729410.0251608,True,True
MsgID.GLOBAL_HOME,1523729410.0277052,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729410.0591493,-122.3974247,37.7925013,5.0180000
MsgID.LOCAL_VELOCITY,1523729410.0591493,3.9600000,4.0700000,-0.3300000
MsgID.LOCAL_POSITION,1523729410.0596509,2.3180995,2.5360813,-5.0183969
MsgID.LOCAL_VELOCITY,1523729410.0596509,3.9696379,4.0707674,-0.3360571
MsgID.LOCAL_POSITION,1523729410.3101525,3.4615560,3.8579605,-4.9504561
MsgID.LOCAL_VELOCITY,1523729410.3101525,4.5484400,4.6484036,0.1547074
MsgID.GLOBAL_POSITION,1523729410.3141594,-122.3974099,37.7925116,4.9500000
MsgID.LOCAL_VELOCITY,1523729410.3141594,4.5400000,4.6400000,0.1500000
MsgID.GLOBAL_POSITION,1523729410.5601704,-122.3973948,37.7925233,4.9380000
