MsgID.STATE,1523729405.0370126,False,False
MsgID.GLOBAL_POSITION,1523729421.5877762,-122.3969989,37.7928058,0.0120000
MsgID.LOCAL_VELOCITY,1523729421.5877762,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523729421.5892787,36.1547432,40.3836861,-0.0127664
MsgID.LOCAL_VELOCITY,1523729421.5892787,-0.0000061,0.0000018,0.0000068
MsgID.GLOBAL_POSITION,1523729421.8427839,-122.3969962,37.7928061,-0.0180000
MsgID.LOCAL_VELOCITY,1523729421.8427839,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1523729421.8457859,36.1851387,40.6235123,0.0182064
MsgID.LOCAL_VELOCITY,1523729421.8457859,0.0000117,-0.0010702,-0.0194031
MsgID.STATE,1523729422.0380554,True,True
MsgID.GLOBAL_HOME,1523729422.0407834,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729422.0902812,-122.3969979,37.7928059,-0.0400000
MsgID.LOCAL_VELOCITY,1523729422.0902812,0.0000000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,1523729422.0922840,36.1690483,40.4727135,0.0403304
MsgID.LOCAL_VELOCITY,1523729422.0922840,-0.0000152,-0.0042758,-0.0535348
MsgID.GLOBAL_POSITION,1523729422.3372040,-122.3969990,37.7928065,-0.0380000
MsgID.LOCAL_VELOCITY,1523729422.3372040,0.0000000,0.0000000,-0.1300000
MsgID.LOCAL_POSITION,1523729422.3387063,36.2338104,40.3788338,0.0388653
MsgID.LOCAL_VELOCITY,1523729422.3387063,0.0013200,-0.0042276,-0.1394665
MsgID.GLOBAL_POSITION,1523729422.5861976,-122.3969979,37.7928075,-0.0190000
MsgID.LOCAL_VELOCITY,1523729422.5861976,0.0000000,0.0000000,-0.1100000
MsgID.LOCAL_POSITION,1523729422.5861976,36.3392982,40.4767494,0.0194537
MsgID.LOCAL_VELOCITY,1523729422.5861976,-0.0061329,0.0019492,-0.1138291
MsgID.GLOBAL_POSITION,1523729422.8366988,-122.3969978,37.7928063,-0.0070000
MsgID.LOCAL_VELOCITY,1523729422.8366988,-0.0100000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,1523729422.8371980,36.2077675,40.4817009,0.0073245
MsgID.LOCAL_VELOCITY,1523729422.8371980,-0.0191390,0.0009937,-0.0541902
